Element Number	Element Type	Nodes	
1	Tet4	144	280	160	222	
2	Tet4	144	160	280	163	
3	Tet4	163	226	280	278	
4	Tet4	218	222	280	268	
5	Tet4	218	280	219	268	
6	Tet4	219	280	226	268	
7	Tet4	157	280	219	159	
8	Tet4	157	280	226	219	
9	Tet4	160	280	218	222	
10	Tet4	157	163	280	159	
11	Tet4	157	226	280	163	
12	Tet4	159	218	280	219	
13	Tet4	159	160	280	218	
14	Tet4	159	280	160	163	
15	Tet4	116	236	279	234	
16	Tet4	100	279	116	236	
17	Tet4	100	183	279	236	
18	Tet4	183	234	279	236	
19	Tet4	94	116	279	234	
20	Tet4	94	116	100	279	
21	Tet4	76	95	279	239	
22	Tet4	76	279	235	239	
23	Tet4	76	279	100	235	
24	Tet4	76	279	95	100	
25	Tet4	100	279	183	235	
26	Tet4	183	279	234	235	
27	Tet4	94	95	279	100	
28	Tet4	95	178	279	239	
29	Tet4	178	234	279	271	
30	Tet4	234	235	279	271	
31	Tet4	94	279	178	234	
32	Tet4	94	279	95	178	
33	Tet4	137	225	278	228	
34	Tet4	137	278	138	228	
35	Tet4	225	278	228	272	
36	Tet4	186	228	278	272	
37	Tet4	225	278	272	274	
38	Tet4	186	272	278	274	
39	Tet4	137	278	225	226	
40	Tet4	138	278	186	228	
41	Tet4	225	226	278	274	
42	Tet4	222	278	268	274	
43	Tet4	226	268	278	274	
44	Tet4	137	163	278	226	
45	Tet4	137	138	278	163	
46	Tet4	138	144	278	163	
47	Tet4	186	278	222	274	
48	Tet4	144	186	278	222	
49	Tet4	138	278	144	186	
50	Tet4	241	244	277	271	
51	Tet4	233	277	241	244	
52	Tet4	235	277	242	271	
53	Tet4	235	269	277	271	
54	Tet4	242	277	244	271	
55	Tet4	235	243	277	269	
56	Tet4	235	242	277	243	
57	Tet4	81	244	242	277	
58	Tet4	233	277	243	269	
59	Tet4	81	243	233	277	
60	Tet4	190	276	219	268	
61	Tet4	190	219	276	260	
62	Tet4	190	227	276	268	
63	Tet4	189	276	190	227	
64	Tet4	218	219	276	268	
65	Tet4	189	190	276	260	
66	Tet4	221	276	227	268	
67	Tet4	189	221	276	227	
68	Tet4	217	276	218	260	
69	Tet4	188	218	276	268	
70	Tet4	188	217	276	218	
71	Tet4	189	276	192	260	
72	Tet4	221	224	276	268	
73	Tet4	189	276	221	224	
74	Tet4	164	188	276	224	
75	Tet4	164	276	188	217	
76	Tet4	192	276	217	260	
77	Tet4	188	276	224	268	
78	Tet4	189	192	276	224	
79	Tet4	164	276	192	224	
80	Tet4	164	192	276	217	
81	Tet4	16	17	169	34	
82	Tet4	21	38	22	168	
83	Tet4	23	170	48	24	
84	Tet4	14	171	28	15	
85	Tet4	11	47	176	12	
86	Tet4	4	5	29	175	
87	Tet4	2	27	177	3	
88	Tet4	70	95	178	94	
89	Tet4	69	94	70	178	
90	Tet4	70	72	178	95	
91	Tet4	166	167	179	169	
92	Tet4	166	179	171	169	
93	Tet4	20	167	180	168	
94	Tet4	20	37	180	36	
95	Tet4	20	180	37	21	
96	Tet4	20	180	21	168	
97	Tet4	21	168	180	38	
98	Tet4	21	180	37	38	
99	Tet4	19	20	167	180	
100	Tet4	19	20	180	36	
101	Tet4	19	180	35	36	
102	Tet4	13	181	26	44	
103	Tet4	166	181	171	179	
104	Tet4	13	166	170	181	
105	Tet4	13	171	166	181	
106	Tet4	13	181	170	24	
107	Tet4	13	26	181	24	
108	Tet4	13	181	44	14	
109	Tet4	13	171	181	14	
110	Tet4	14	44	28	181	
111	Tet4	14	28	171	181	
112	Tet4	17	182	18	169	
113	Tet4	17	18	182	41	
114	Tet4	18	35	182	41	
115	Tet4	18	182	167	169	
116	Tet4	167	169	182	179	
117	Tet4	17	41	182	34	
118	Tet4	17	182	169	34	
119	Tet4	18	19	167	182	
120	Tet4	18	35	19	182	
121	Tet4	167	179	182	180	
122	Tet4	100	124	101	183	
123	Tet4	101	183	124	125	
124	Tet4	100	139	124	183	
125	Tet4	22	184	170	168	
126	Tet4	48	170	184	181	
127	Tet4	22	23	184	42	
128	Tet4	22	184	23	170	
129	Tet4	22	184	168	38	
130	Tet4	22	42	184	38	
131	Tet4	38	184	168	180	
132	Tet4	23	170	184	48	
133	Tet4	23	184	42	48	
134	Tet4	16	169	185	34	
