Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Temperature (°C)
153	-3,5566	8,2674	36,273	74,724
154	0,28047	8,9956	34,177	74,819
155	1,4821	8,8771	29,096	74,811
156	-2,5554	8,6296	29,166	74,76
157	-8,9885	-0,45554	33,219	74,771
158	-7,344	5,2025	33,981	74,836
159	-6,7377	-5,9669	34,926	74,743
160	-3,1936	-8,4143	32,093	74,73
161	-6,7349	5,97	29,013	74,713
162	-8,6562	2,4638	29,217	74,732
163	-7,6806	-4,6913	29,436	74,761
164	8,6532	-2,4744	34,446	74,879
165	2,2487	-8,7145	31,352	74,79
166	2,1834	-1,0294e-015	0,	77,024
167	-3,8455	-3,2547e-015	0,	76,722
168	-1,5	-4,5	0,	76,478
169	-1,5	4,5	0,	76,483
170	3,75	-3,8971	0,	76,293
171	3,75	3,8971	0,	76,289
172	2,1834	-1,0294e-015	65,	77,041
173	-3,8455	-3,2547e-015	65,	76,645
174	-1,5	-4,5	65,	76,44
175	-1,5	4,5	65,	76,44
176	3,75	-3,8971	65,	76,253
177	3,75	3,8971	65,	76,27
178	-1,145	-4,6931	12,078	76,418
179	-0,47395	1,5304	3,8782	76,984
180	-4,1043	-2,4773	3,2458	76,547
181	4,6877	-0,12739	3,1345	76,596
182	-4,0819	3,4762	3,1881	76,314
183	1,7499	-3,8315	20,402	76,546
184	1,3942	-5,3532	3,2786	76,263
185	1,1692	5,482	3,9635	76,228
186	-2,3104	-3,747	23,921	76,527
187	-3,8847	2,6103	31,01	76,416
188	2,8628	-3,7469	30,755	76,406
189	3,2212	3,0781	36,247	76,509
190	-3,0461	2,7705	36,872	76,536
191	-4,0514	-3,6198	38,196	76,137
192	5,157	-0,96052	37,71	76,23
193	0,77531	-4,4519	44,062	76,45
194	4,4662	1,8406	42,463	76,377
195	-4,1381	-0,33523	47,316	76,614
196	1,0352	-4,4559	50,973	76,442
197	4,549	1,8333	48,313	76,377
198	-0,43073	-4,4031	56,795	76,603
199	-4,2929	2,9115	61,913	76,334
200	-3,8937	-2,3719	62,005	76,525
201	0,8131	-4,6855	61,82	76,533
202	5,0323	0,22492	61,894	76,466
203	1,3369	5,0932	61,766	76,339
204	0,16133	5,0426	57,	76,378
205	4,9163	-2,14	57,623	76,336
206	-4,8623	-0,72056	57,721	76,417
207	-2,494	-4,3492	52,521	76,346
208	3,8149	-2,506	47,378	76,537
209	2,9672	3,7836	52,655	76,42
210	0,10792	4,3935	47,871	76,537
211	-1,739	-4,2212	47,713	76,486
212	4,7479	-1,3695	52,554	76,458
213	-3,4498	-2,9148	42,914	76,446
214	-4,091	3,5225	49,132	76,194
215	1,963	4,8794	41,871	76,211
216	3,0394	-4,9189	39,556	76,061
217	2,666	-4,6957	35,6	76,203
218	-1,2555	-4,5631	34,371	76,388
219	-4,9594	-1,2026	34,688	76,33
220	-4,5254	1,5599	41,958	76,359
221	2,3644	3,63	30,384	76,523
222	-1,4246	-4,196	28,868	76,458
223	3,895	-1,0569	26,167	76,655
224	5,1275	0,52424	31,937	76,282
225	-4,381	1,1236	26,562	76,415
226	-5,1431	-0,68286	29,786	76,184
227	-1,1431	4,8171	33,118	76,317
228	-5,3467	0,4892	21,817	76,281
229	1,5162	-5,687	25,555	76,
230	3,5898	2,8326	7,4528	76,619
231	-2,2907	4,3788	7,5667	76,473
232	-0,56864	-5,0988	7,5055	76,422
233	1,3014	4,8266	17,268	76,39
234	-2,5107	-3,6467	16,658	76,525
235	3,3041	-3,0106	16,264	76,553
236	-2,0928	-4,37	20,101	76,397
237	4,3246	-2,6865	7,3369	76,4
238	-4,4535	-0,78308	7,9623	76,615
239	3,2994	-4,137	11,663	76,319
240	-4,398	-2,6728	12,072	76,372
241	-3,3022	2,6048	13,214	76,683
242	4,8398	0,21908	12,527	76,421
243	5,2312	1,3789	17,528	76,261
244	1,7735	4,2615	11,926	76,574
245	0,64343	5,1363	21,557	76,276
246	-4,0477	3,6873	18,373	76,244
247	-5,136	-0,48937	17,726	76,326
248	-0,46591	5,5128	38,137	76,118
249	-2,0932	4,7791	27,325	76,246
250	4,8825	-0,83712	21,507	76,367
251	-2,3071	4,4538	43,412	76,319
252	-4,4755	2,3897	53,88	76,326
253	-0,97494	-5,3799	39,574	76,156
254	-1,7162	5,0457	52,509	76,272
255	-4,6388	-1,3986	53,413	76,377
256	4,5904	2,6837	57,024	76,273
257	-3,6894	3,5673	58,347	76,329
258	4,0977	3,2293	21,659	76,262
259	0,22876	-1,8652	3,751	76,979
260	8,4721e-002	4,4975e-002	39,031	77,118
261	3,5909	4,5589	45,682	76,059
262	-5,7324e-002	0,54086	60,216	77,083
263	4,7284	-2,4577	42,266	76,229
264	0,50948	0,38249	44,936	77,07
265	-0,24685	0,11329	50,432	77,088
266	0,36911	-8,977e-003	55,107	77,104
267	-5,6119	-0,77846	39,476	76,077
268	-1,1536	-0,45346	31,64	76,971
269	0,10291	0,41855	18,488	77,092
270	9,468e-002	-0,62243	9,4159	77,128
271	-0,12619	-1,179	13,42	77,075
272	-0,58589	0,91646	23,123	77,036
273	2,7064	3,7097	25,533	76,528
274	5,8082e-002	1,0109	28,1	77,018
275	-3,1174	4,486	23,146	76,194
276	1,9758	-0,76209	34,654	76,976
277	2,3307	1,7244	15,061	76,843
278	-4,0172	-2,2879	26,914	76,406
279	-0,30543	-5,8813	15,442	76,062
280	-4,4466	-3,8414	31,224	76,011
