Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Temperature (°C)
1	-10,	10,	10,	50,
2	-10,	10,	-10,	50,
3	-10,	-10,	-10,	50,
4	-10,	-10,	10,	50,
5	10,	-10,	-10,	30,
6	10,	-10,	10,	30,
7	10,	10,	-10,	40,
8	10,	10,	10,	40,
9	1,7347e-015	-1,7347e-015	-10,	39,966
10	-10,	-1,7347e-015	-10,	50,
11	1,7347e-015	-10,	-10,	39,954
12	10,	0,	-10,	30,
13	0,	10,	-10,	40,
14	1,7347e-015	-1,7347e-015	10,	39,467
15	-10,	-1,7347e-015	10,	50,
16	1,7347e-015	-10,	10,	39,741
17	10,	0,	10,	30,
18	0,	10,	10,	40,
19	0,	10,	0,	40,
20	-10,	10,	0,	50,
21	10,	10,	0,	40,
22	10,	0,	0,	30,
23	10,	-10,	0,	30,
24	5,2042e-015	-10,	0,	39,912
25	-10,	-10,	0,	50,
26	-10,	-5,2042e-015	0,	50,
27	2,3491e-015	-2,2656e-015	-2,0793e-016	39,891
