Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Temperature (°C)
1	-10,	10,	10,	-9,994
2	-10,	10,	-10,	-9,994
3	-10,	-10,	-10,	-9,994
4	-10,	-10,	10,	-9,994
5	10,	-10,	-10,	30,
6	10,	-10,	10,	30,
7	10,	10,	-10,	30,
8	10,	10,	10,	30,
9	1,7347e-015	-1,7347e-015	-10,	10,003
10	-10,	-1,7347e-015	-10,	-9,994
11	1,7347e-015	-10,	-10,	10,003
12	10,	0,	-10,	30,
13	0,	10,	-10,	10,003
14	1,7347e-015	-1,7347e-015	10,	10,003
15	-10,	-1,7347e-015	10,	-9,994
16	1,7347e-015	-10,	10,	10,003
17	10,	0,	10,	30,
18	0,	10,	10,	10,003
19	0,	10,	0,	10,003
20	-10,	10,	0,	-9,994
21	10,	10,	0,	30,
22	10,	0,	0,	30,
23	10,	-10,	0,	30,
24	5,2042e-015	-10,	0,	10,003
25	-10,	-10,	0,	-9,994
26	-10,	-5,2042e-015	0,	-9,994
27	2,3491e-015	-2,2656e-015	-2,0793e-016	10,003
