Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Temperature (°C)
1	-10,	10,	10,	360,58
2	-10,	10,	-10,	360,58
3	-10,	-10,	-10,	360,58
4	-10,	-10,	10,	360,58
5	10,	-10,	-10,	30,
6	10,	-10,	10,	30,
7	10,	10,	-10,	30,
8	10,	10,	10,	30,
9	1,7347e-015	-1,7347e-015	-10,	195,29
10	-10,	-1,7347e-015	-10,	360,58
11	1,7347e-015	-10,	-10,	195,29
12	10,	0,	-10,	30,
13	0,	10,	-10,	195,29
14	1,7347e-015	-1,7347e-015	10,	195,29
15	-10,	-1,7347e-015	10,	360,58
16	1,7347e-015	-10,	10,	195,29
17	10,	0,	10,	30,
18	0,	10,	10,	195,29
19	0,	10,	0,	195,29
20	-10,	10,	0,	360,58
21	10,	10,	0,	30,
22	10,	0,	0,	30,
23	10,	-10,	0,	30,
24	5,2042e-015	-10,	0,	195,29
25	-10,	-10,	0,	360,58
26	-10,	-5,2042e-015	0,	360,58
27	2,3491e-015	-2,2656e-015	-2,0793e-016	195,29
