Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Temperature (°C)
1	-10,	10,	10,	1332,1
2	-10,	10,	-10,	5,3049
3	-10,	-10,	-10,	7,3473
4	-10,	-10,	10,	2922,8
5	10,	-10,	-10,	-20,
6	10,	-10,	10,	-20,
7	10,	10,	-10,	-20,
8	10,	10,	10,	-20,
9	1,7347e-015	-1,7347e-015	-10,	5,5132
10	-10,	-1,7347e-015	-10,	5,3753
11	1,7347e-015	-10,	-10,	6,3934
12	10,	0,	-10,	-20,
13	0,	10,	-10,	5,2427
14	1,7347e-015	-1,7347e-015	10,	1239,6
15	-10,	-1,7347e-015	10,	1562,7
16	1,7347e-015	-10,	10,	2544,3
17	10,	0,	10,	-20,
18	0,	10,	10,	955,45
19	0,	10,	0,	629,86
20	-10,	10,	0,	958,44
21	10,	10,	0,	-20,
22	10,	0,	0,	-20,
23	10,	-10,	0,	-20,
24	5,2042e-015	-10,	0,	1977,3
25	-10,	-10,	0,	2565,2
26	-10,	-5,2042e-015	0,	1241,8
27	2,3491e-015	-2,2656e-015	-2,0793e-016	887,02
