Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	-7,5	30,	0,	
2	-10,5	30,	0,	
3	-8,	30,	0,	
4	-8,5	30,	0,	
5	-9,	30,	0,	
6	-9,5	30,	0,	
7	-10,	30,	0,	
8	-10,5	30,	10,	
9	-10,5	30,	9,5	
10	-10,5	30,	9,	
11	-10,5	30,	8,5	
12	-10,5	30,	8,	
13	-10,5	30,	7,5	
14	-10,5	30,	7,	
15	-10,5	30,	6,5	
16	-10,5	30,	6,	
17	-10,5	30,	5,5	
18	-10,5	30,	5,	
19	-10,5	30,	4,5	
20	-10,5	30,	4,	
21	-10,5	30,	3,5	
22	-10,5	30,	3,	
23	-10,5	30,	2,5	
24	-10,5	30,	2,	
25	-10,5	30,	1,5	
26	-10,5	30,	1,	
27	-10,5	30,	0,5	
28	-7,5	30,	10,	
29	-8,	30,	10,	
30	-8,5	30,	10,	
31	-9,	30,	10,	
32	-9,5	30,	10,	
33	-10,	30,	10,	
34	-7,5	30,	9,5	
35	-7,5	30,	9,	
36	-7,5	30,	8,5	
37	-7,5	30,	8,	
38	-7,5	30,	7,5	
39	-7,5	30,	7,	
40	-7,5	30,	6,5	
41	-7,5	30,	6,	
42	-7,5	30,	5,5	
43	-7,5	30,	5,	
44	-7,5	30,	4,5	
45	-7,5	30,	4,	
46	-7,5	30,	3,5	
47	-7,5	30,	3,	
48	-7,5	30,	2,5	
49	-7,5	30,	2,	
50	-7,5	30,	1,5	
51	-7,5	30,	1,	
52	-7,5	30,	0,5	
53	-10,5	0,	0,	
54	-10,5	29,5	0,	
55	-10,5	29,	0,	
56	-10,5	28,5	0,	
57	-10,5	28,	0,	
58	-10,5	27,5	0,	
59	-10,5	27,	0,	
60	-10,5	26,5	0,	
61	-10,5	26,	0,	
62	-10,5	25,5	0,	
63	-10,5	25,	0,	
64	-10,5	24,5	0,	
65	-10,5	24,	0,	
66	-10,5	23,5	0,	
67	-10,5	23,	0,	
68	-10,5	22,5	0,	
69	-10,5	22,	0,	
70	-10,5	21,5	0,	
71	-10,5	21,	0,	
72	-10,5	20,5	0,	
73	-10,5	20,	0,	
74	-10,5	19,5	0,	
75	-10,5	19,	0,	
76	-10,5	18,5	0,	
77	-10,5	18,	0,	
78	-10,5	17,5	0,	
79	-10,5	17,	0,	
80	-10,5	16,5	0,	
81	-10,5	16,	0,	
82	-10,5	15,5	0,	
83	-10,5	15,	0,	
84	-10,5	14,5	0,	
85	-10,5	14,	0,	
86	-10,5	13,5	0,	
87	-10,5	13,	0,	
88	-10,5	12,5	0,	
89	-10,5	12,	0,	
90	-10,5	11,5	0,	
91	-10,5	11,	0,	
92	-10,5	10,5	0,	
93	-10,5	10,	0,	
94	-10,5	9,5	0,	
95	-10,5	9,	0,	
96	-10,5	8,5	0,	
97	-10,5	8,	0,	
98	-10,5	7,5	0,	
99	-10,5	7,	0,	
100	-10,5	6,5	0,	
101	-10,5	6,	0,	
102	-10,5	5,5	0,	
103	-10,5	5,	0,	
104	-10,5	4,5	0,	
105	-10,5	4,	0,	
106	-10,5	3,5	0,	
107	-10,5	3,	0,	
108	-10,5	2,5	0,	
109	-10,5	2,	0,	
110	-10,5	1,5	0,	
111	-10,5	1,	0,	
112	-10,5	0,5	0,	
113	-10,5	0,	10,	
114	-10,5	0,	9,5	
115	-10,5	0,	9,	
116	-10,5	0,	8,5	
117	-10,5	0,	8,	
118	-10,5	0,	7,5	
119	-10,5	0,	7,	
120	-10,5	0,	6,5	
121	-10,5	0,	6,	
122	-10,5	0,	5,5	
123	-10,5	0,	5,	
124	-10,5	0,	4,5	
125	-10,5	0,	4,	
126	-10,5	0,	3,5	
127	-10,5	0,	3,	
128	-10,5	0,	2,5	
129	-10,5	0,	2,	
130	-10,5	0,	1,5	
131	-10,5	0,	1,	
132	-10,5	0,	0,5	
133	-10,5	29,5	10,	
134	-10,5	29,	10,	
135	-10,5	28,5	10,	
136	-10,5	28,	10,	
137	-10,5	27,5	10,	
138	-10,5	27,	10,	
139	-10,5	26,5	10,	
140	-10,5	26,	10,	
141	-10,5	25,5	10,	
142	-10,5	25,	10,	
143	-10,5	24,5	10,	
144	-10,5	24,	10,	
145	-10,5	23,5	10,	
146	-10,5	23,	10,	
147	-10,5	22,5	10,	
148	-10,5	22,	10,	
149	-10,5	21,5	10,	
150	-10,5	21,	10,	
151	-10,5	20,5	10,	
152	-10,5	20,	10,	
153	-10,5	19,5	10,	
154	-10,5	19,	10,	
155	-10,5	18,5	10,	
156	-10,5	18,	10,	
157	-10,5	17,5	10,	
158	-10,5	17,	10,	
159	-10,5	16,5	10,	
160	-10,5	16,	10,	
161	-10,5	15,5	10,	
162	-10,5	15,	10,	
163	-10,5	14,5	10,	
164	-10,5	14,	10,	
165	-10,5	13,5	10,	
166	-10,5	13,	10,	
167	-10,5	12,5	10,	
168	-10,5	12,	10,	
169	-10,5	11,5	10,	
170	-10,5	11,	10,	
171	-10,5	10,5	10,	
172	-10,5	10,	10,	
173	-10,5	9,5	10,	
174	-10,5	9,	10,	
175	-10,5	8,5	10,	
