Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
176	-10,5	8,	10,	
177	-10,5	7,5	10,	
178	-10,5	7,	10,	
179	-10,5	6,5	10,	
180	-10,5	6,	10,	
181	-10,5	5,5	10,	
182	-10,5	5,	10,	
183	-10,5	4,5	10,	
184	-10,5	4,	10,	
185	-10,5	3,5	10,	
186	-10,5	3,	10,	
187	-10,5	2,5	10,	
188	-10,5	2,	10,	
189	-10,5	1,5	10,	
190	-10,5	1,	10,	
191	-10,5	0,5	10,	
192	0,	0,	0,	
193	-10,	0,	0,	
194	-9,5	0,	0,	
195	-9,	0,	0,	
196	-8,5	0,	0,	
197	-8,	0,	0,	
198	-7,5	0,	0,	
199	-7,	0,	0,	
200	-6,5	0,	0,	
201	-6,	0,	0,	
202	-5,5	0,	0,	
203	-5,	0,	0,	
204	-4,5	0,	0,	
205	-4,	0,	0,	
206	-3,5	0,	0,	
207	-3,	0,	0,	
208	-2,5	0,	0,	
209	-2,	0,	0,	
210	-1,5	0,	0,	
211	-1,	0,	0,	
212	-0,5	0,	0,	
213	0,	0,	10,	
214	0,	0,	9,5	
215	0,	0,	9,	
216	0,	0,	8,5	
217	0,	0,	8,	
218	0,	0,	7,5	
219	0,	0,	7,	
220	0,	0,	6,5	
221	0,	0,	6,	
222	0,	0,	5,5	
223	0,	0,	5,	
224	0,	0,	4,5	
225	0,	0,	4,	
226	0,	0,	3,5	
227	0,	0,	3,	
228	0,	0,	2,5	
229	0,	0,	2,	
230	0,	0,	1,5	
231	0,	0,	1,	
232	0,	0,	0,5	
233	-10,	0,	10,	
234	-9,5	0,	10,	
235	-9,	0,	10,	
236	-8,5	0,	10,	
237	-8,	0,	10,	
238	-7,5	0,	10,	
239	-7,	0,	10,	
240	-6,5	0,	10,	
241	-6,	0,	10,	
242	-5,5	0,	10,	
243	-5,	0,	10,	
244	-4,5	0,	10,	
245	-4,	0,	10,	
246	-3,5	0,	10,	
247	-3,	0,	10,	
248	-2,5	0,	10,	
249	-2,	0,	10,	
250	-1,5	0,	10,	
251	-1,	0,	10,	
252	-0,5	0,	10,	
253	0,	5,	0,	
254	0,	0,5	0,	
255	0,	1,	0,	
256	0,	1,5	0,	
257	0,	2,	0,	
258	0,	2,5	0,	
259	0,	3,	0,	
260	0,	3,5	0,	
261	0,	4,	0,	
262	0,	4,5	0,	
263	0,	5,	10,	
264	0,	5,	9,5	
265	0,	5,	9,	
266	0,	5,	8,5	
267	0,	5,	8,	
268	0,	5,	7,5	
269	0,	5,	7,	
270	0,	5,	6,5	
271	0,	5,	6,	
272	0,	5,	5,5	
273	0,	5,	5,	
274	0,	5,	4,5	
275	0,	5,	4,	
276	0,	5,	3,5	
277	0,	5,	3,	
278	0,	5,	2,5	
279	0,	5,	2,	
280	0,	5,	1,5	
281	0,	5,	1,	
282	0,	5,	0,5	
283	0,	0,5	10,	
284	0,	1,	10,	
285	0,	1,5	10,	
286	0,	2,	10,	
287	0,	2,5	10,	
288	0,	3,	10,	
289	0,	3,5	10,	
290	0,	4,	10,	
291	0,	4,5	10,	
292	-1,5	5,	0,	
293	-0,5	5,	0,	
294	-1,	5,	0,	
295	-1,5	5,	10,	
296	-1,5	5,	9,5	
297	-1,5	5,	9,	
298	-1,5	5,	8,5	
299	-1,5	5,	8,	
300	-1,5	5,	7,5	
301	-1,5	5,	7,	
302	-1,5	5,	6,5	
303	-1,5	5,	6,	
304	-1,5	5,	5,5	
305	-1,5	5,	5,	
306	-1,5	5,	4,5	
307	-1,5	5,	4,	
308	-1,5	5,	3,5	
309	-1,5	5,	3,	
310	-1,5	5,	2,5	
311	-1,5	5,	2,	
312	-1,5	5,	1,5	
313	-1,5	5,	1,	
314	-1,5	5,	0,5	
315	-0,5	5,	10,	
316	-1,	5,	10,	
317	-1,5	30,	0,	
318	-1,5	5,5	0,	
319	-1,5	6,	0,	
320	-1,5	6,5	0,	
321	-1,5	7,	0,	
322	-1,5	7,5	0,	
323	-1,5	8,	0,	
324	-1,5	8,5	0,	
325	-1,5	9,	0,	
326	-1,5	9,5	0,	
327	-1,5	10,	0,	
328	-1,5	10,5	0,	
329	-1,5	11,	0,	
330	-1,5	11,5	0,	
331	-1,5	12,	0,	
332	-1,5	12,5	0,	
333	-1,5	13,	0,	
334	-1,5	13,5	0,	
335	-1,5	14,	0,	
336	-1,5	14,5	0,	
337	-1,5	15,	0,	
338	-1,5	15,5	0,	
339	-1,5	16,	0,	
340	-1,5	16,5	0,	
341	-1,5	17,	0,	
342	-1,5	17,5	0,	
343	-1,5	18,	0,	
344	-1,5	18,5	0,	
345	-1,5	19,	0,	
346	-1,5	19,5	0,	
347	-1,5	20,	0,	
348	-1,5	20,5	0,	
349	-1,5	21,	0,	
350	-1,5	21,5	0,	
351	-1,5	22,	0,	
352	-1,5	22,5	0,	
353	-1,5	23,	0,	
354	-1,5	23,5	0,	
355	-1,5	24,	0,	
356	-1,5	24,5	0,	
357	-1,5	25,	0,	
358	-1,5	25,5	0,	
359	-1,5	26,	0,	
360	-1,5	26,5	0,	
361	-1,5	27,	0,	
362	-1,5	27,5	0,	
363	-1,5	28,	0,	
364	-1,5	28,5	0,	
365	-1,5	29,	0,	
366	-1,5	29,5	0,	
367	-1,5	30,	10,	
368	-1,5	30,	9,5	
369	-1,5	30,	9,	
370	-1,5	30,	8,5	
371	-1,5	30,	8,	
372	-1,5	30,	7,5	
373	-1,5	30,	7,	
374	-1,5	30,	6,5	
375	-1,5	30,	6,	
376	-1,5	30,	5,5	
377	-1,5	30,	5,	
378	-1,5	30,	4,5	
379	-1,5	30,	4,	
380	-1,5	30,	3,5	
381	-1,5	30,	3,	
382	-1,5	30,	2,5	
383	-1,5	30,	2,	
384	-1,5	30,	1,5	
385	-1,5	30,	1,	
386	-1,5	30,	0,5	
387	-1,5	5,5	10,	
388	-1,5	6,	10,	
389	-1,5	6,5	10,	
390	-1,5	7,	10,	
391	-1,5	7,5	10,	
392	-1,5	8,	10,	
393	-1,5	8,5	10,	
394	-1,5	9,	10,	
395	-1,5	9,5	10,	
396	-1,5	10,	10,	
397	-1,5	10,5	10,	
398	-1,5	11,	10,	
399	-1,5	11,5	10,	
400	-1,5	12,	10,	
401	-1,5	12,5	10,	
402	-1,5	13,	10,	
403	-1,5	13,5	10,	
404	-1,5	14,	10,	
405	-1,5	14,5	10,	
406	-1,5	15,	10,	
407	-1,5	15,5	10,	
408	-1,5	16,	10,	
409	-1,5	16,5	10,	
410	-1,5	17,	10,	
411	-1,5	17,5	10,	
412	-1,5	18,	10,	
413	-1,5	18,5	10,	
414	-1,5	19,	10,	
415	-1,5	19,5	10,	
416	-1,5	20,	10,	
417	-1,5	20,5	10,	
418	-1,5	21,	10,	
419	-1,5	21,5	10,	
420	-1,5	22,	10,	
421	-1,5	22,5	10,	
422	-1,5	23,	10,	
423	-1,5	23,5	10,	
424	-1,5	24,	10,	
425	-1,5	24,5	10,	
426	-1,5	25,	10,	
427	-1,5	25,5	10,	
428	-1,5	26,	10,	
429	-1,5	26,5	10,	
430	-1,5	27,	10,	
431	-1,5	27,5	10,	
432	-1,5	28,	10,	
433	-1,5	28,5	10,	
434	-1,5	29,	10,	
435	-1,5	29,5	10,	
436	-4,5	30,	0,	
437	-2,	30,	0,	
438	-2,5	30,	0,	
439	-3,	30,	0,	
440	-3,5	30,	0,	
441	-4,	30,	0,	
442	-4,5	30,	10,	
443	-4,5	30,	9,5	
444	-4,5	30,	9,	
445	-4,5	30,	8,5	
446	-4,5	30,	8,	
447	-4,5	30,	7,5	
448	-4,5	30,	7,	
449	-4,5	30,	6,5	
450	-4,5	30,	6,	
451	-4,5	30,	5,5	
452	-4,5	30,	5,	
453	-4,5	30,	4,5	
454	-4,5	30,	4,	
455	-4,5	30,	3,5	
456	-4,5	30,	3,	
457	-4,5	30,	2,5	
458	-4,5	30,	2,	
459	-4,5	30,	1,5	
460	-4,5	30,	1,	
461	-4,5	30,	0,5	
462	-2,	30,	10,	
463	-2,5	30,	10,	
464	-3,	30,	10,	
465	-3,5	30,	10,	
466	-4,	30,	10,	
467	-4,5	5,	0,	
468	-4,5	29,5	0,	
469	-4,5	29,	0,	
470	-4,5	28,5	0,	
471	-4,5	28,	0,	
472	-4,5	27,5	0,	
473	-4,5	27,	0,	
474	-4,5	26,5	0,	
475	-4,5	26,	0,	
476	-4,5	25,5	0,	
477	-4,5	25,	0,	
478	-4,5	24,5	0,	
479	-4,5	24,	0,	
480	-4,5	23,5	0,	
481	-4,5	23,	0,	
482	-4,5	22,5	0,	
483	-4,5	22,	0,	
484	-4,5	21,5	0,	
485	-4,5	21,	0,	
486	-4,5	20,5	0,	
487	-4,5	20,	0,	
488	-4,5	19,5	0,	
489	-4,5	19,	0,	
490	-4,5	18,5	0,	
491	-4,5	18,	0,	
492	-4,5	17,5	0,	
493	-4,5	17,	0,	
494	-4,5	16,5	0,	
495	-4,5	16,	0,	
496	-4,5	15,5	0,	
497	-4,5	15,	0,	
498	-4,5	14,5	0,	
499	-4,5	14,	0,	
500	-4,5	13,5	0,	
501	-4,5	13,	0,	
502	-4,5	12,5	0,	
503	-4,5	12,	0,	
504	-4,5	11,5	0,	
505	-4,5	11,	0,	
506	-4,5	10,5	0,	
507	-4,5	10,	0,	
508	-4,5	9,5	0,	
509	-4,5	9,	0,	
510	-4,5	8,5	0,	
511	-4,5	8,	0,	
512	-4,5	7,5	0,	
513	-4,5	7,	0,	
514	-4,5	6,5	0,	
515	-4,5	6,	0,	
516	-4,5	5,5	0,	
517	-4,5	5,	10,	
518	-4,5	5,	9,5	
519	-4,5	5,	9,	
520	-4,5	5,	8,5	
521	-4,5	5,	8,	
522	-4,5	5,	7,5	
523	-4,5	5,	7,	
524	-4,5	5,	6,5	
525	-4,5	5,	6,	
526	-4,5	5,	5,5	
527	-4,5	5,	5,	
528	-4,5	5,	4,5	
529	-4,5	5,	4,	
530	-4,5	5,	3,5	
531	-4,5	5,	3,	
532	-4,5	5,	2,5	
533	-4,5	5,	2,	
534	-4,5	5,	1,5	
535	-4,5	5,	1,	
536	-4,5	5,	0,5	
537	-4,5	29,5	10,	
538	-4,5	29,	10,	
539	-4,5	28,5	10,	
540	-4,5	28,	10,	
541	-4,5	27,5	10,	
542	-4,5	27,	10,	
543	-4,5	26,5	10,	
544	-4,5	26,	10,	
545	-4,5	25,5	10,	
546	-4,5	25,	10,	
547	-4,5	24,5	10,	
548	-4,5	24,	10,	
549	-4,5	23,5	10,	
550	-4,5	23,	10,	
551	-4,5	22,5	10,	
552	-4,5	22,	10,	
553	-4,5	21,5	10,	
554	-4,5	21,	10,	
555	-4,5	20,5	10,	
556	-4,5	20,	10,	
557	-4,5	19,5	10,	
558	-4,5	19,	10,	
559	-4,5	18,5	10,	
560	-4,5	18,	10,	
561	-4,5	17,5	10,	
562	-4,5	17,	10,	
563	-4,5	16,5	10,	
564	-4,5	16,	10,	
565	-4,5	15,5	10,	
566	-4,5	15,	10,	
567	-4,5	14,5	10,	
568	-4,5	14,	10,	
569	-4,5	13,5	10,	
570	-4,5	13,	10,	
571	-4,5	12,5	10,	
572	-4,5	12,	10,	
573	-4,5	11,5	10,	
574	-4,5	11,	10,	
575	-4,5	10,5	10,	
576	-4,5	10,	10,	
577	-4,5	9,5	10,	
578	-4,5	9,	10,	
579	-4,5	8,5	10,	
580	-4,5	8,	10,	
581	-4,5	7,5	10,	
582	-4,5	7,	10,	
583	-4,5	6,5	10,	
584	-4,5	6,	10,	
585	-4,5	5,5	10,	
586	-7,5	5,	0,	
587	-5,	5,	0,	
588	-5,5	5,	0,	
589	-6,	5,	0,	
590	-6,5	5,	0,	
591	-7,	5,	0,	
592	-7,5	5,	10,	
593	-7,5	5,	9,5	
594	-7,5	5,	9,	
595	-7,5	5,	8,5	
596	-7,5	5,	8,	
597	-7,5	5,	7,5	
598	-7,5	5,	7,	
599	-7,5	5,	6,5	
600	-7,5	5,	6,	
601	-7,5	5,	5,5	
602	-7,5	5,	5,	
603	-7,5	5,	4,5	
604	-7,5	5,	4,	
605	-7,5	5,	3,5	
606	-7,5	5,	3,	
607	-7,5	5,	2,5	
608	-7,5	5,	2,	
609	-7,5	5,	1,5	
610	-7,5	5,	1,	
611	-7,5	5,	0,5	
612	-5,	5,	10,	
613	-5,5	5,	10,	
614	-6,	5,	10,	
615	-6,5	5,	10,	
616	-7,	5,	10,	
617	-7,5	5,5	0,	
618	-7,5	6,	0,	
619	-7,5	6,5	0,	
620	-7,5	7,	0,	
621	-7,5	7,5	0,	
622	-7,5	8,	0,	
623	-7,5	8,5	0,	
624	-7,5	9,	0,	
625	-7,5	9,5	0,	
626	-7,5	10,	0,	
627	-7,5	10,5	0,	
628	-7,5	11,	0,	
629	-7,5	11,5	0,	
630	-7,5	12,	0,	
631	-7,5	12,5	0,	
632	-7,5	13,	0,	
633	-7,5	13,5	0,	
634	-7,5	14,	0,	
635	-7,5	14,5	0,	
636	-7,5	15,	0,	
637	-7,5	15,5	0,	
638	-7,5	16,	0,	
639	-7,5	16,5	0,	
640	-7,5	17,	0,	
641	-7,5	17,5	0,	
642	-7,5	18,	0,	
643	-7,5	18,5	0,	
644	-7,5	19,	0,	
645	-7,5	19,5	0,	
646	-7,5	20,	0,	
647	-7,5	20,5	0,	
648	-7,5	21,	0,	
649	-7,5	21,5	0,	
650	-7,5	22,	0,	
651	-7,5	22,5	0,	
652	-7,5	23,	0,	
653	-7,5	23,5	0,	
654	-7,5	24,	0,	
655	-7,5	24,5	0,	
656	-7,5	25,	0,	
657	-7,5	25,5	0,	
658	-7,5	26,	0,	
659	-7,5	26,5	0,	
660	-7,5	27,	0,	
661	-7,5	27,5	0,	
662	-7,5	28,	0,	
663	-7,5	28,5	0,	
664	-7,5	29,	0,	
665	-7,5	29,5	0,	
666	-7,5	5,5	10,	
667	-7,5	6,	10,	
668	-7,5	6,5	10,	
669	-7,5	7,	10,	
670	-7,5	7,5	10,	
671	-7,5	8,	10,	
672	-7,5	8,5	10,	
673	-7,5	9,	10,	
674	-7,5	9,5	10,	
675	-7,5	10,	10,	
676	-7,5	10,5	10,	
677	-7,5	11,	10,	
678	-7,5	11,5	10,	
679	-7,5	12,	10,	
680	-7,5	12,5	10,	
681	-7,5	13,	10,	
682	-7,5	13,5	10,	
683	-7,5	14,	10,	
684	-7,5	14,5	10,	
685	-7,5	15,	10,	
686	-7,5	15,5	10,	
687	-7,5	16,	10,	
688	-7,5	16,5	10,	
689	-7,5	17,	10,	
690	-7,5	17,5	10,	
691	-7,5	18,	10,	
692	-7,5	18,5	10,	
693	-7,5	19,	10,	
694	-7,5	19,5	10,	
695	-7,5	20,	10,	
696	-7,5	20,5	10,	
697	-7,5	21,	10,	
698	-7,5	21,5	10,	
699	-7,5	22,	10,	
700	-7,5	22,5	10,	
701	-7,5	23,	10,	
702	-7,5	23,5	10,	
703	-7,5	24,	10,	
704	-7,5	24,5	10,	
705	-7,5	25,	10,	
706	-7,5	25,5	10,	
707	-7,5	26,	10,	
708	-7,5	26,5	10,	
709	-7,5	27,	10,	
710	-7,5	27,5	10,	
711	-7,5	28,	10,	
712	-7,5	28,5	10,	
713	-7,5	29,	10,	
714	-7,5	29,5	10,	
715	-3,75	2,5	0,	
716	-7,6774	2,5415	0,	
717	-5,75	2,5	0,	
718	-1,941	2,6921	0,	
719	-3,2195	3,9402	0,	
720	-9,	4,5	0,	
721	-3,0509	28,282	0,	
722	-9,	28,25	0,	
723	-3,	26,25	0,	
724	-9,	26,25	0,	
725	-9,	24,25	0,	
726	-3,0587	24,309	0,	
727	-9,	22,25	0,	
728	-3,	22,25	0,	
729	-9,	20,25	0,	
730	-3,	20,25	0,	
731	-9,	18,25	0,	
732	-3,	18,25	0,	
733	-8,9324	16,21	0,	
734	-3,	16,25	0,	
735	-3,	14,25	0,	
736	-9,	14,25	0,	
737	-3,0234	12,309	0,	
738	-9,1286	12,299	0,	
739	-3,	10,25	0,	
740	-9,	10,25	0,	
741	-2,9283	8,2094	0,	
742	-9,	8,25	0,	
743	-3,	6,25	0,	
744	-8,9648	6,1737	0,	
745	-9,1179	2,0807	0,	
746	-2,1875	1,375	0,	
747	-7,0911	3,7795	0,	
748	-4,3624	3,686	0,	
749	-6,9933	1,1967	0,	
750	-4,3772	1,2009	0,	
751	-5,625	1,25	0,	
752	-5,5649	3,848	0,	
753	-9,0304	3,3003	0,	
754	-1,4375	3,875	0,	
755	-3,1252	4,9457	0,	
756	-1,0441	1,725	0,	
757	-3,2812	1,3125	0,	
758	-8,125	1,625	0,	
759	-9,3125	1,	0,	
760	-2,3437	4,4375	0,	
761	-8,0608	4,0694	0,	
762	-9,	7,25	0,	
763	-3,0587	7,3087	0,	
764	-9,	9,25	0,	
765	-3,	9,25	0,	
766	-9,	11,25	0,	
767	-3,	11,25	0,	
768	-8,929	13,203	0,	
769	-2,9375	13,198	0,	
770	-8,9911	15,329	0,	
771	-3,	15,25	0,	
772	-3,	17,25	0,	
773	-9,	17,25	0,	
774	-3,	19,25	0,	
775	-9,	19,25	0,	
776	-3,	21,25	0,	
777	-9,	21,25	0,	
778	-3,	23,25	0,	
779	-9,	23,25	0,	
780	-2,9375	25,212	0,	
781	-9,	25,25	0,	
782	-8,9492	27,199	0,	
783	-3,	27,25	0,	
784	-4,8833	2,5112	0,	
785	-6,793	2,559	0,	
786	-2,7083	1,75	0,	
787	-0,625	2,9167	0,	
788	-2,5441	2,6834	0,	
789	-8,9043	28,875	0,	
790	-3,3333	29,417	0,	
791	-2,7897	29,265	0,	
792	-8,5	4,8333	0,	
793	-9,4554	4,8978	0,	
794	-2,3958	3,8472	0,	
795	-1,1523	1,0831	0,	
796	-4,1374	4,6419	0,	
797	-5,9289	3,3812	0,	
798	-6,3384	2,0195	0,	
799	-10,	22,75	0,	
800	-8,4643	22,935	0,	
801	-9,5714	23,5	0,	
802	-2,5	23,	0,	
803	-4,	22,75	0,	
804	-3,5714	23,5	0,	
805	-9,5	17,5	0,	
806	-8,	17,75	0,	
807	-8,4352	16,944	0,	
808	-2,	17,75	0,	
809	-3,5714	17,5	0,	
810	-2,4286	17,	0,	
811	-2,5	13,	0,	
812	-4,0625	12,753	0,	
813	-10,062	12,753	0,	
814	-8,4151	12,976	0,	
815	-2,	9,75	0,	
816	-3,5	9,5	0,	
817	-8,	9,75	0,	
818	-9,5	9,5	0,	
819	-1,9375	7,7465	0,	
820	-3,5729	7,5294	0,	
821	-9,5	7,5	0,	
822	-8,	7,75	0,	
823	-8,	6,75	0,	
824	-8,4802	5,9479	0,	
825	-10,058	5,7323	0,	
826	-2,5	6,	0,	
827	-3,5	6,	0,	
828	-8,	8,75	0,	
829	-2,	8,75	0,	
830	-8,	10,75	0,	
831	-9,5319	10,58	0,	
832	-3,5	10,5	0,	
833	-2,	10,75	0,	
834	-8,0319	11,83	0,	
835	-10,	11,75	0,	
836	-2,4681	11,92	0,	
837	-3,5	12,	0,	
838	-8,	14,75	0,	
839	-9,5341	14,58	0,	
840	-3,5	14,5	0,	
841	-2,	14,75	0,	
842	-3,5	16,	0,	
843	-2,4681	15,92	0,	
844	-10,062	15,753	0,	
845	-7,9583	15,729	0,	
846	-3,5	18,5	0,	
847	-2,	18,75	0,	
848	-8,	18,75	0,	
849	-9,5	18,5	0,	
850	-3,5	20,	0,	
851	-2,	20,75	0,	
852	-2,4352	19,944	0,	
853	-8,	20,75	0,	
854	-9,5341	20,58	0,	
855	-8,	19,75	0,	
856	-3,5	22,	0,	
857	-2,4681	21,92	0,	
858	-10,	21,75	0,	
859	-8,0319	21,83	0,	
860	-3,5729	24,529	0,	
861	-1,9375	24,747	0,	
862	-8,	24,75	0,	
863	-9,5	24,5	0,	
864	-8,	26,75	0,	
865	-9,5341	26,58	0,	
866	-8,	25,75	0,	
867	-3,5	26,	0,	
868	-2,	26,75	0,	
869	-2,4352	25,944	0,	
870	-10,	28,75	0,	
871	-8,	27,821	0,	
872	-9,9963	27,79	0,	
873	-2,4795	27,925	0,	
874	-3,5	28,	0,	
875	-8,375	0,54167	0,	
876	-7,9583	3,5833	0,	
877	-10,05	2,7031	0,	
878	-9,5417	3,5	0,	
879	-2,4479	5,4792	0,	
880	-0,47917	4,2917	0,	
881	-9,2286	5,3499	0,	
882	-2,7604	0,4375	0,	
883	-5,0182	2,9716	0,	
884	-5,3333	1,6667	0,	
885	-6,2821	4,5458	0,	
886	-5,9167	0,83333	0,	
887	-3,5	27,413	0,	
888	-9,5	25,478	0,	
889	-3,4911	25,411	0,	
890	-3,5	21,414	0,	
891	-9,5	19,478	0,	
892	-3,5	19,498	0,	
893	-4,	15,248	0,	
894	-3,4911	13,374	0,	
895	-9,5	13,333	0,	
896	-3,5	11,498	0,	
897	-2,5084	7,1274	0,	
898	-9,5	6,3333	0,	
899	-9,5	8,478	0,	
900	-3,4898	8,3871	0,	
901	-8,	14,168	0,	
902	-1,9999	14,237	0,	
903	-9,4903	16,375	0,	
904	-2,5084	24,127	0,	
905	-8,	24,083	0,	
906	-8,6058	3,0406	0,	
907	-3,5	16,5	0,	
908	-3,5	6,5	0,	
909	-3,6406	0,65625	0,	
910	-8,131	29,149	0,	
911	-3,4687	3,1875	0,	
912	-3,8626	28,937	0,	
913	-8,3735	2,2119	0,	
914	-2,1786	28,884	0,	
915	-7,75	0,89583	0,	
916	-1,9815	2,0147	0,	
917	-5,2591	4,3486	0,	
918	-5,3893	0,5905	0,	
919	-4,0625	1,875	0,	
920	-6,8075	0,54589	0,	
921	-7,4623	1,948	0,	
922	-4,0687	3,0545	0,	
923	-7,4489	2,9747	0,	
924	-2,0621	0,75863	0,	
925	-0,55208	3,6042	0,	
926	-0,65559	0,82634	0,	
927	-8,1667	28,667	0,	
928	-2,2789	27,481	0,	
929	-9,701	27,09	0,	
930	-9,722	29,296	0,	
931	-8,25	22,375	0,	
932	-9,7369	21,055	0,	
933	-2,2634	21,445	0,	
934	-9,7381	15,056	0,	
935	-2,2634	15,445	0,	
936	-2,2634	11,445	0,	
937	-9,7366	11,055	0,	
938	-8,25	12,375	0,	
939	-8,6435	1,3181	0,	
940	-9,5814	4,2071	0,	
941	-3,5	20,589	0,	
942	-3,5	26,667	0,	
943	-6,1458	1,4583	0,	
944	-8,4965	3,638	0,	
945	-1,4844	2,2188	0,	
946	-0,90495	2,3168	0,	
947	-6,9982	3,1249	0,	
948	-7,1919	4,3497	0,	
949	-8,5	23,667	0,	
950	-2,4907	13,502	0,	
951	-8,4878	13,583	0,	
952	-9,9062	0,75	0,	
953	-4,7192	1,6891	0,	
954	-3,2054	2,2024	0,	
955	-4,6598	4,5505	0,	
956	-6,0629	4,007	0,	
957	-1,25	2,8333	0,	
958	-2,9323	3,5174	0,	
