Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Temperature (°C)
1	-10,	10,	10,	1030,3
2	-10,	10,	-10,	1001,9
3	-10,	-10,	-10,	1020,5
4	-10,	-10,	10,	1005,5
5	10,	-10,	-10,	30,
6	10,	-10,	10,	30,
7	10,	10,	-10,	30,
8	10,	10,	10,	30,
9	1,7347e-015	-1,7347e-015	-10,	782,67
10	-10,	-1,7347e-015	-10,	1028,5
11	1,7347e-015	-10,	-10,	779,78
12	10,	0,	-10,	30,
13	0,	10,	-10,	779,63
14	1,7347e-015	-1,7347e-015	10,	766,66
15	-10,	-1,7347e-015	10,	1023,8
16	1,7347e-015	-10,	10,	787,97
17	10,	0,	10,	30,
18	0,	10,	10,	797,74
19	0,	10,	0,	787,08
20	-10,	10,	0,	1028,
21	10,	10,	0,	30,
22	10,	0,	0,	30,
23	10,	-10,	0,	30,
24	5,2042e-015	-10,	0,	781,31
25	-10,	-10,	0,	997,18
26	-10,	-5,2042e-015	0,	1037,2
27	2,3491e-015	-2,2656e-015	-2,0793e-016	738,82
